currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
USDT,XRP,neuralnet -0.93|0.59|0.7,15.45,-5.00,0.27,20.45,0.53,73.33,9.08,4.69,-8.22,-7.57,2368,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.59 method = sgd min_predictions = 1000 momentum = 0.7 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.93,primeiro
USDT,XRP,neuralnet -0.92|0.900000000000001|1,-99.37,-119.82,-1.71,20.45,37.43,31.15,7.35,0.35,-6.77,-0.43,38,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.900000000000001 method = sgd min_predictions = 1000 momentum = 1 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.92,primeiro
USDT,XRP,neuralnet -0.91|0.34|0.6,8.88,-11.57,0.15,20.45,0.72,75.00,7.67,3.35,-8.61,-7.49,1905,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.34 method = sgd min_predictions = 1000 momentum = 0.6 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.91,primeiro
USDT,XRP,neuralnet -0.91|0.870000000000001|0.6,3.40,-17.05,0.06,20.45,0.47,69.23,9.08,4.69,-8.22,-7.57,2997,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.870000000000001 method = sgd min_predictions = 1000 momentum = 0.6 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.91,primeiro
USDT,XRP,neuralnet -0.91|0.17|0.3,22.78,2.33,0.39,20.45,0.93,80.77,8.22,2.94,-9.46,-8.01,1063,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.17 method = sgd min_predictions = 1000 momentum = 0.3 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.91,primeiro
USDT,XRP,neuralnet -0.96|0.13|0.8,5.38,-15.07,0.09,20.45,0.86,66.67,8.22,2.96,-8.22,-6.86,1438,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.13 method = sgd min_predictions = 1000 momentum = 0.8 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.96,primeiro
USDT,XRP,neuralnet -0.96|0.930000000000001|0.4,3.40,-17.05,0.06,20.45,0.47,69.23,9.08,4.69,-8.22,-7.57,2997,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.930000000000001 method = sgd min_predictions = 1000 momentum = 0.4 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.96,primeiro
USDT,XRP,neuralnet -0.94|0.13|0.2,10.86,-9.59,0.19,20.45,0.93,76.92,6.56,2.87,-9.46,-7.83,1215,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.13 method = sgd min_predictions = 1000 momentum = 0.2 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.94,primeiro
USDT,XRP,neuralnet -0.98|0.48|0.1,3.59,-16.86,0.06,20.45,0.66,72.22,7.96,3.35,-8.61,-7.56,2064,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.48 method = sgd min_predictions = 1000 momentum = 0.1 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.98,primeiro
USDT,XRP,neuralnet -0.97|0.52|0.8,12.36,-8.09,0.21,20.45,0.59,62.50,9.08,4.42,-8.61,-5.98,2583,15,10,58,3,10124437797,0.19362484,0.23322161,0.18451749,0.34653793,0.24695356,14.2,5638910,2604755443,2729,2020-01-01 02:29:00,2020-02-28 11:58:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.52 method = sgd min_predictions = 1000 momentum = 0.8 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.97,primeiro
