currency,asset,strategy,profit[%],profit-market,profit/day[%],market change[%],trades/day,wins[%],best win,median wins,worst loss,median losses,avg HODL[min],candleSize,historySize,days,cur CMC rank,cur marketcap,open price,close,low,high,avg price,volatility,volume/day,cur CMC volume,overall trades/day,dataset from,to,strategy settings,note
USDT,XRP,neuralnet 0.870000000000001|-0.97|0.7,6.23,-11.22,0.11,17.44,0.39,60.00,14.02,4.37,-8.51,-6.7,2346,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.870000000000001 method = sgd min_predictions = 1000 momentum = 0.7 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.97,primeiro
USDT,XRP,neuralnet 0.27|-0.99|0.2,26.17,8.72,0.46,17.44,0.75,76.19,7.50,4.07,-8.51,-7.41,1886,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.27 method = sgd min_predictions = 1000 momentum = 0.2 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.99,primeiro
USDT,XRP,neuralnet 0.26|-0.93|0.4,12.01,-5.43,0.21,17.44,0.75,76.19,7.38,2.87,-8.51,-7.41,1630,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.26 method = sgd min_predictions = 1000 momentum = 0.4 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.93,primeiro
USDT,XRP,neuralnet 0.26|-0.98|0.4,25.35,7.91,0.44,17.44,0.75,76.19,7.50,3.74,-8.51,-7.41,1885,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.26 method = sgd min_predictions = 1000 momentum = 0.4 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.98,primeiro
USDT,XRP,neuralnet 0.47|-0.95|0.2,1.30,-16.14,0.02,17.44,0.61,64.71,7.44,3.84,-7.86,-7.29,1620,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.47 method = sgd min_predictions = 1000 momentum = 0.2 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.95,primeiro
USDT,XRP,neuralnet 0.33|-0.97|0.8,31.92,14.48,0.56,17.44,0.81,72.73,12.02,3.26,-7.81,-4.98,1748,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.33 method = sgd min_predictions = 1000 momentum = 0.8 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.97,primeiro
USDT,XRP,neuralnet 0.65|-0.99|1,-99.99,-117.44,-1.75,17.44,70.75,24.90,5.98,0.26,-5.92,-0.36,20,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.65 method = sgd min_predictions = 1000 momentum = 1 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.99,primeiro
USDT,XRP,neuralnet 0.41|-0.96|0.8,15.60,-1.84,0.27,17.44,0.72,65.00,12.02,3.84,-7.86,-5.14,1681,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.41 method = sgd min_predictions = 1000 momentum = 0.8 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.96,primeiro
USDT,XRP,neuralnet 0.920000000000001|-0.99|0.1,10.23,-7.21,0.18,17.44,0.53,64.29,14.02,4.6,-8.32,-7.86,1418,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.920000000000001 method = sgd min_predictions = 1000 momentum = 0.1 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.99,primeiro
USDT,XRP,neuralnet 0.930000000000001|-0.92|0.3,2.44,-15.00,0.04,17.44,0.51,64.29,10.02,4.6,-7.95,-7.86,1422,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.930000000000001 method = sgd min_predictions = 1000 momentum = 0.3 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.92,primeiro
USDT,XRP,neuralnet 0.21|-0.92|0.6,5.95,-11.49,0.10,17.44,0.75,71.43,7.38,2.85,-8.51,-7.29,1526,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.21 method = sgd min_predictions = 1000 momentum = 0.6 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.92,primeiro
USDT,XRP,neuralnet 0.56|-0.91|0.1,6.40,-11.04,0.11,17.44,0.61,70.59,7.44,3.74,-8.51,-7.41,1513,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.56 method = sgd min_predictions = 1000 momentum = 0.1 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.91,primeiro
USDT,XRP,neuralnet 0.67|-0.95|0.4,6.43,-11.02,0.11,17.44,0.56,66.67,10.02,4.45,-8.32,-7.86,1582,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.67 method = sgd min_predictions = 1000 momentum = 0.4 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.95,primeiro
USDT,XRP,neuralnet 0.31|-0.95|0.4,9.79,-7.65,0.17,17.44,0.72,70.00,7.50,3.26,-7.86,-7.29,1710,15,10,57,3,10436226082,0.19362484,0.22740113,0.18451749,0.34653793,0.24717403,14.4,5600471,3129464530,2735,2020-01-01 02:32:00,2020-02-27 03:16:00,decay = 0.01 hodl_threshold = 0.94 learning_rate = 0.31 method = sgd min_predictions = 1000 momentum = 0.4 price_buffer_len = 100 stoploss_enabled = true stoploss_threshold = 0.92 threshold_buy = 1 threshold_sell = -0.95,primeiro
